experiment,dataset,train_dataset,agent,stage,cell,score,raw_mean,lower_mean,upper_mean,complete,reason,max_step,expected_step,eval_path,eval_mtime,agent_path,agent_mtime,agent_newer_than_eval
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc_n,test,!118.81*,118.81,3385.39,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc_n/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784018727.590679,source/ice_offline/agent/td3bc_n.py,1784018860.2535148,True
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc_plus,test,-0.28,-0.28,-6.22,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc_plus/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784191447.2710812,,,False
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc,test,!121.31*,121.31,3456.57,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784017608.5970895,source/ice_offline/agent/td3bc.py,1784195474.9738448,True
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc_gp_plus,test,2.33,2.33,68.23,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc_gp_plus/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784524815.793932,,,False
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc_gp,test,118.71*,118.71,3382.44,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc_gp/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784522559.1166384,source/ice_offline/agent/td3bc_gp.py,1784202607.2063751,False
stability_td3bc,walker2d_d4rl_medium,walker2d_d4rl_medium,td3bc_gpn,test,117.96*,117.96,3361.06,1.87,2849.70,True,ok,120000,120000,tmps/evals/base/td3bc_gpn/walker2d_d4rl_medium-v0/data/eval_data.hdf5,1784525331.2186794,source/ice_offline/agent/td3bc_gpn.py,1784195475.097844,False
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc_n,test,92.36*,92.36,4543.85,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc_n/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784019194.7350187,source/ice_offline/agent/td3bc_n.py,1784018860.2535148,False
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc_plus,test,4.67,4.67,231.74,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc_plus/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784191510.5317466,,,False
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc,test,!90.11*,90.11,4432.89,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784018041.8031278,source/ice_offline/agent/td3bc.py,1784195474.9738448,True
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc_gp_plus,test,-0.28,-0.28,-12.09,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc_gp_plus/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784524821.7669032,,,False
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc_gp,test,89.53,89.53,4404.27,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc_gp/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784523415.6702502,source/ice_offline/agent/td3bc_gp.py,1784202607.2063751,False
stability_td3bc,walker2d_d4rl_expert,walker2d_d4rl_expert,td3bc_gpn,test,94.56*,94.56,4652.09,1.87,4919.36,True,ok,120000,120000,tmps/evals/base/td3bc_gpn/walker2d_d4rl_expert-v0/data/eval_data.hdf5,1784525589.4096873,source/ice_offline/agent/td3bc_gpn.py,1784195475.097844,False
stability_td3bc,walker2d_d4rl_hybrid,walker2d_d4rl_hybrid,td3bc_n,test,107.07*,107.07,4064.67,1.87,3796.56,True,ok,120000,120000,tmps/evals/base/td3bc_n/walker2d_d4rl_hybrid-v0/data/eval_data.hdf5,1784018948.9194689,source/ice_offline/agent/td3bc_n.py,1784018860.2535148,False
