task,bc,td3bc_n,iql,cql,aspl_c,scas_n,scaspl_pn,scc_n
hopper_d4rl_medium,102.05,99.90,110.76,105.22,108.78(L),2.70(L),!99.63(L),135.50*
hopper_d4rl_expert,196.46,192.36,62.20,197.52,141.74(L),-1.16(L),!161.88(L),219.99*
hopper_d4rl_hybrid,113.23,147.91,105.49,113.33,177.13(L),10.70(L),!169.99(L),216.97*
hopper_replay_medium,41.57,46.11,98.60,2.31,3.29(L),28.06(L),!102.45(L),134.21*
hopper_replay_expert,43.74,100.79,193.11,2.43,32.34(L),178.95(L),!218.12(L)*,195.16
walker2d_d4rl_medium,114.41*,!118.81*,101.91,!115.25*,115.56(L)*,117.11(L)*,!115.62(t)*,!118.77*
walker2d_d4rl_expert,162.55*,!159.49*,129.35,!10.48,142.30(L),5.61(L),!139.28(L),!19.30
walker2d_d4rl_hybrid,115.42,!142.66,137.24,!113.96,116.43(L),30.61(L),!164.27(t)*,!111.50
walker2d_replay_medium,23.85,!102.25,68.75,!36.20,116.91(L),123.06(L)*,!117.91(L)*,!123.07*
walker2d_replay_expert,41.63,!125.14,95.50,!132.23,138.82(L),150.43(L)*,!147.19(L)*,!145.81*
halfcheetah_d4rl_medium,103.63,112.50,113.23,141.97*,111.71(L),116.00(L),!115.92(L),113.00
halfcheetah_d4rl_expert,221.54*,221.52*,173.05,1.74,41.24(L),51.07(L),!159.72(L),192.80
halfcheetah_d4rl_hybrid,122.61,132.41,164.83*,111.19,71.66(L),75.87(L),!112.15(L),168.78*
halfcheetah_replay_medium,74.48,105.89,106.55,125.00*,-6.17(L),111.30(L),!-5.52(L),105.85
halfcheetah_replay_expert,142.37,160.22,154.80,184.18*,-6.16(L),167.03(L),!165.32(L),167.13
