task,bc,td3bc_n,iql,cql,aspl_c,scas_n,scaspl_pn,scc_n
hopper_d4rl_medium,96.75,89.15,114.28,100.04,104.47(L),8.69(L),!89.85(L),151.45*
hopper_d4rl_expert,100.20*,99.22*,46.46,99.37*,97.28(L)*,-1.23(L),!99.13(t)*,98.30*
hopper_d4rl_hybrid,95.08*,98.10*,96.59*,60.87,97.20(L)*,7.75(L),!97.44(t)*,99.27*
hopper_replay_medium,64.13,80.43,91.84,-0.36,1.58(L),53.15(L),!76.27(t),161.08*
hopper_replay_expert,42.47,87.28,94.20*,-0.20,13.22(L),98.86(L)*,!93.73(t),93.22
walker2d_d4rl_medium,96.54,!98.30*,103.11*,!97.90,94.41(L),100.73(L)*,!99.69(t)*,!96.26
walker2d_d4rl_expert,98.26,!99.06,106.47*,!13.38,101.92(L)*,5.75(L),!106.68(L)*,!25.71
walker2d_d4rl_hybrid,97.63,!100.93,102.97*,!107.27*,103.01(L)*,27.18(L),!103.74(t)*,!103.15*
walker2d_replay_medium,67.55,!101.67*,101.77*,!80.27,99.50(L),106.90(L)*,!99.54(L),!101.91*
walker2d_replay_expert,80.55,!84.45,88.72*,!82.62,82.95(L),89.48(L)*,!88.79(L)*,!87.00*
halfcheetah_d4rl_medium,102.61,110.59,110.71,147.81*,109.75(L),113.15(L),!107.63(t),111.00
halfcheetah_d4rl_expert,102.89*,105.63*,102.39*,1.69,51.04(L),68.70(L),!97.73(t),96.31
halfcheetah_d4rl_hybrid,98.38*,89.78,99.74*,92.25,42.11(L),70.03(L),!90.04(t),98.79*
halfcheetah_replay_medium,94.55,107.31,105.66,123.63*,-8.28(L),109.92(L),!96.93(t),104.20
halfcheetah_replay_expert,70.64,77.21,75.76,87.27*,-3.88(L),77.30(L),!78.34(t),79.64
