task,bc,td3bc_n,iql,cql,aspl,scas_n,scaspl_n,scc_n
noise_action_5e-2@walker2d_d4rl_medium,112.93,117.82*,97.81,114.69,,100.33,!120.87*,116.15*
noise_action_1e-1@walker2d_d4rl_medium,109.85,114.89*,95.04,112.86,,97.63,!120.82*,113.79
noise_action_5e-1@walker2d_d4rl_medium,35.66,40.06,36.19,36.91,,34.48,!38.96,42.23*
noise_action_1e0@walker2d_d4rl_medium,8.67,10.91*,9.37,11.19*,,9.55,!10.04,10.44
noise_action_5e-2@walker2d_d4rl_hybrid,113.60,144.46*,132.93,106.35,,43.68,!119.59,105.26
noise_action_1e-1@walker2d_d4rl_hybrid,107.15,139.31*,124.88,97.87,,42.86,!123.49,96.78
noise_action_5e-1@walker2d_d4rl_hybrid,31.65,34.61*,29.99,26.16,,19.11,!35.37*,32.15
noise_action_1e0@walker2d_d4rl_hybrid,9.02,10.25*,8.49,7.15,,8.71,!10.29*,9.96*
noise_action_5e-2@walker2d_replay_medium,25.00,104.28,67.78,33.45,,109.11(L),!92.42,122.09*
noise_action_1e-1@walker2d_replay_medium,26.17,103.36,66.66,33.66,,113.15(L),!89.45,119.93*
noise_action_5e-1@walker2d_replay_medium,15.59,32.69,28.50,21.19,,64.55(L)*,!30.90,48.52
noise_action_1e0@walker2d_replay_medium,1.01,5.03,4.96,7.72,,9.83(L)*,!6.53,6.17
