task,bc,td3bc_n,iql,cql,aspl_c,scas_n,scaspl_pn,scc_n
noise_init_5e-2@walker2d_d4rl_medium,111.52,!116.13*,99.50,!103.31,111.06(L),49.24(L),!112.66(L)*,!118.24*
noise_init_1e-1@walker2d_d4rl_medium,104.50,!107.90,96.62,!99.21,108.21(L),47.01(L),!107.86(L),!115.08*
noise_init_5e-1@walker2d_d4rl_medium,56.31,!63.23,54.25,!59.15,63.62(L),25.20(L),!67.41(L)*,!65.30*
noise_init_1e0@walker2d_d4rl_medium,21.90,!25.37,18.32,!28.13*,20.07(L),8.72(L),!24.62(L),!23.13
noise_init_5e-2@walker2d_d4rl_hybrid,118.34,!142.18*,137.28*,!94.95,123.46(L),18.60(L),!137.30(L)*,!110.05
noise_init_1e-1@walker2d_d4rl_hybrid,107.49,!125.77,125.63,!84.28,120.01(L),28.92(L),!132.45(L)*,!101.83
noise_init_5e-1@walker2d_d4rl_hybrid,63.23,!62.48,68.61,!47.66,62.51(L),19.71(L),!78.05(L)*,!57.82
noise_init_1e0@walker2d_d4rl_hybrid,22.85,!25.13,24.94,!15.65,29.30(L)*,7.94(L),!25.75(L),!19.24
noise_init_5e-2@walker2d_replay_medium,23.91,!100.21,69.16,!33.96,109.95(L),108.09(L),!113.12(L),!122.11*
noise_init_1e-1@walker2d_replay_medium,24.08,!96.64,64.43,!30.03,99.94(L),106.55(L),!108.79(L),!122.92*
noise_init_5e-1@walker2d_replay_medium,13.82,!50.54,34.65,!12.83,44.01(L),66.75(L)*,!59.19(L),!67.08*
noise_init_1e0@walker2d_replay_medium,4.51,!18.37,9.88,!4.38,16.40(L),22.56(L),!24.39(L)*,!21.62
