task,bc,td3bc_n,iql,cql,aspl,scas_n,scaspl_n,scc_n
noise_state_5e-4@walker2d_d4rl_medium,115.11*,118.96*,100.52,115.32*,(t),101.89,,118.04*
noise_state_1e-3@walker2d_d4rl_medium,114.85*,119.18*,101.18,113.10,(t),101.60,,117.50*
noise_state_5e-3@walker2d_d4rl_medium,94.10,100.24,90.19,96.50,(t),86.13,,112.95*
noise_state_1e-2@walker2d_d4rl_medium,64.00,69.18,66.27,61.79,(t),64.43,,82.44*
noise_state_5e-4@walker2d_d4rl_hybrid,115.72,140.16*,136.36*,111.76,(t),43.78,,108.53
noise_state_1e-3@walker2d_d4rl_hybrid,115.24,130.06*,131.99*,108.10,(t),43.40,,105.51
noise_state_5e-3@walker2d_d4rl_hybrid,79.99*,82.19*,81.67*,48.91,(t),31.94,,74.13
noise_state_1e-2@walker2d_d4rl_hybrid,53.00*,53.40*,44.21,22.54,(t),27.65,,50.75*
noise_state_5e-4@walker2d_replay_medium,24.88,102.47,68.75,34.98,(t),112.41(L),,122.83*
noise_state_1e-3@walker2d_replay_medium,25.92,101.10,68.10,33.02,(t),111.62(L),,122.62*
noise_state_5e-3@walker2d_replay_medium,27.94,87.82,53.19,28.36,(t),102.14(L),,109.57*
noise_state_1e-2@walker2d_replay_medium,23.93,58.36,39.05,24.46,(t),66.64(L),,75.61*
